feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,Diagnosis
0.9748507220016944,0.2296948015514385,0.012051143448827517,0.8305133622660186,0.7108393036841936,0.2371574774766667,0.28412831821994444,0.5090823012739955,0.4399425192337614,0.7501103208613857,0.2343947977120482,0.6379754163254909,0.8479657661423895,0.6696930080161096,0.32957343643066384,0.5422281274311276,0.0751908395644093,0.32757893394438,0.03313135600535033,0.30932972377802925,0.6811703944116675,0.1431895849079664,0.3865555775630424,0.37750625271765237,0.6849473156791485,0.6174525263605687,0.6226117204285022,0.8597993133394072,0.38238239888985603,0.9758567339306494,1
0.1590503668505998,0.013635770441242423,0.7732938952303101,0.7325103316793383,0.7914594281749318,0.25334452328560375,0.3803594363373055,0.22353436604618426,0.31720973745293346,0.8732285617252291,0.4573399623873423,0.2100347377523324,0.9171130312422436,0.059143873006167635,0.13089392811262934,0.8731133954931728,0.9895252936414362,0.6358597845774991,0.0809385956807177,0.4526039623256627,0.3087067361215563,0.634241468435576,0.1860236994366744,0.3154448922632419,0.20883113931866448,0.07540116480987702,0.45457877990093964,0.3571859556234448,0.7122102850428207,0.4934994695103925,1
0.8830995228146079,0.5629979146096352,0.266323199665249,0.950080176564007,0.6265548881453535,0.16514074113001398,0.6010307208302811,0.9662791154474776,0.8474953950329666,0.1389011170122002,0.027240744234010794,0.5315543809536395,0.7359346879422148,0.2908722380859471,0.29173269469281116,0.32345451145661763,0.5828689536171932,0.1313196824138999,0.22261811877007476,0.818171893771962,0.013315421295299168,0.9115829243834581,0.015914541929892057,0.5233274037237264,0.17257629033392097,0.9100155069982951,0.9606825817165543,0.29457339498529245,0.9042778301364486,0.6700562941996727,0
0.8384069139421015,0.1236446728127012,0.8552555486438607,0.7512058278002515,0.6722869279316684,0.3726104140808453,0.9811389925326132,0.7461369514606018,0.8489010074681345,0.07935097099456279,0.9011033134746765,0.2100026152890181,0.13533759699540338,0.9138720863206816,0.09679310904528993,0.14267932018381924,0.23228119606394748,0.4970869988864257,0.30676564057741906,0.9655207424628002,0.6898702530718687,0.32072891569801376,0.7146376265220097,0.2810501121327368,0.6673522740765021,0.43544409455105126,0.11611664164405122,0.6305889240011578,0.6184892746241346,0.496060276668959,1
0.41799780657940266,0.8144501533807926,0.5119070966565283,0.9039990672444823,0.8800520954023047,0.14581407565991733,0.7108928555863245,0.40498049153925475,0.7122191258211524,0.38043186443144394,0.8124902573536169,0.8458140359827707,0.321739336346763,0.008056111527086296,0.44050416574059137,0.7538992589752055,0.23874538440232762,0.8786708641634187,0.646350498093172,0.4024958472176595,0.5022671144754475,0.7848100155698748,0.7197926117952663,0.3927328535239485,0.1011588630343061,0.6239476409312664,0.3498532316105416,0.9952786818443036,0.36705894369487346,0.39372211068316154,0
0.5714495823632201,0.6161402439487279,0.7203601499347734,0.5665213119658166,0.1688548590323018,0.06792216994242317,0.10254047590989523,0.17908718552420477,0.07678475779009308,0.39505074293767417,0.03753458106183016,0.20892733198067837,0.8970852437588562,0.7752028731458013,0.7097542719060497,0.3631821095328768,0.5488141694411119,0.8792757673128323,0.771232214356976,0.7279503069399604,0.23753349414551927,0.6235437150834245,0.07672776821101523,0.5932271671596485,0.0963202188853578,0.15737800045297612,0.10955561380203616,0.03332323510445612,0.13164302265079386,0.701640611012783,1
0.6097822289157687,0.32812239677553057,0.6330005994685479,0.6739669521782254,0.9127858056224909,0.09450585892952446,0.49463596131932475,0.5228940785343213,0.8379522329168114,0.20911754290660378,0.3545223998013547,0.7210659312490568,0.4810064819687955,0.684760490390392,0.10618729599554677,0.8177635566357019,0.3384979603122973,0.21976007357680416,0.31263894974478423,0.6691391678771769,0.18791196756388484,0.7075515569540896,0.018553980184808028,0.8027539356548741,0.6593711714651261,0.2099660427007798,0.8399365755668888,0.5424104969042064,0.7901085817276879,0.17833533774174137,0
0.38525560374945245,0.8362512092423794,0.713181730662073,0.8226026553205759,0.2717946671810957,0.3527989600155238,0.8787082257325123,0.5823793288326818,0.7219840684888675,0.6101389974524697,0.8960987179738125,0.8886952238686544,0.16109873993945123,0.05350975528159585,0.427923442166563,0.02092527157357782,0.9870528337163543,0.7200514840345622,0.8777014998498458,0.38216780655927163,0.20803496687208622,0.8160857951516448,0.16423060478055374,0.23217561704109313,0.06942291152713442,0.8460747404247158,0.32588315964068126,0.6473186016789884,0.6256871060284428,0.20414376350982977,1
0.6127485520668784,0.3974410155909237,0.23518948500345693,0.9693215560061732,0.22937655507355648,0.4416075420778206,0.44292447530276413,0.3005656793936716,0.22268646684104032,0.6362986224558671,0.5366835643933405,0.44216132485117987,0.7601172864830501,0.8842343424573798,0.6406704551013424,0.5400154050184186,0.3484527853812167,0.27668409780666625,0.872113129508299,0.4305362950925482,0.2329300485986633,0.31106181272556777,0.6982812627536427,0.7722585306436545,0.7696416846267075,0.44419571221875653,0.4663379220213256,0.6514079559016674,0.7557891216580167,0.5989023836052686,0
0.3915291765476946,0.9785091087515404,0.5130398796267613,0.9077795677324147,0.29986247737138905,0.5532614051856317,0.9203540016510815,0.7482773201907508,0.8403188788349935,0.6492789978595426,0.15630100471302222,0.4689130610532797,0.8483742426560332,0.28284854580324614,0.055737777064239324,0.13684022138928142,0.9548367960520552,0.6825250162641273,0.9808519690276581,0.7052842099760529,0.4481070300191379,0.27722351631301356,0.5130247335294525,0.9133159475056529,0.698758483040304,0.4229858582820585,0.07170952024192878,0.5575702759958098,0.844579892202338,0.2895930075946582,1
